epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.811,0.89895,1.9291,1.0846,0.78228,0.74994,0.81392,0.52171,0.69494,0.97989,0.97329,0.000647619,0.000647619,0.000647619
2,172.974,0.9704,0.92685,1.07724,0.50169,0.59032,0.58079,0.38056,0.98069,1.7137,1.16145,0.00128176,0.00128176,0.00128176
3,275.531,1.04781,0.89896,1.07992,0.57747,0.50868,0.51928,0.24925,1.37637,1.89546,1.5185,0.0018829,0.0018829,0.0018829
4,369.735,1.00437,0.77479,1.07167,0.77089,0.77835,0.83575,0.58233,0.71179,0.82256,1.02483,0.0018515,0.0018515,0.0018515
5,472.381,0.93631,0.70409,1.05457,0.84511,0.67639,0.80241,0.55952,0.71729,0.90561,0.99645,0.001802,0.001802,0.001802
6,575.8,0.93137,0.64839,1.0439,0.81071,0.7802,0.86166,0.62895,0.58847,0.53401,0.92309,0.0017525,0.0017525,0.0017525
7,670.523,0.93228,0.67978,1.03634,0.80739,0.74638,0.83845,0.6106,0.63856,0.53606,0.94981,0.001703,0.001703,0.001703
8,763.681,0.89089,0.64265,1.03745,0.8657,0.80251,0.90161,0.66546,0.59414,0.50243,0.90906,0.0016535,0.0016535,0.0016535
9,858.117,0.90378,0.609,1.0122,0.83451,0.80658,0.88109,0.63689,0.6717,0.47918,0.95016,0.001604,0.001604,0.001604
10,962,0.88949,0.61036,1.02243,0.81598,0.81123,0.88938,0.66565,0.526,0.44443,0.88805,0.0015545,0.0015545,0.0015545
11,1032.11,0.87597,0.5886,1.00735,0.86375,0.86147,0.92571,0.68234,0.59164,0.42422,0.91248,0.001505,0.001505,0.001505
12,1158.78,0.83563,0.58892,1.00799,0.88302,0.8589,0.93331,0.69959,0.53177,0.38999,0.88559,0.0014555,0.0014555,0.0014555
13,1267.02,0.87658,0.58835,1.01237,0.89605,0.85778,0.93764,0.71345,0.48959,0.35753,0.87605,0.001406,0.001406,0.001406
14,1364.67,0.87621,0.57426,0.98658,0.9024,0.86221,0.93805,0.71802,0.44843,0.33679,0.85539,0.0013565,0.0013565,0.0013565
