epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,1452.24,0.76074,0.51607,0.99189,0.89249,0.84965,0.93558,0.72117,0.43582,0.33529,0.85149,0.001307,0.001307,0.001307
16,1549.16,0.76954,0.50793,0.97796,0.87805,0.8659,0.93709,0.69957,0.49634,0.35042,0.86756,0.0012575,0.0012575,0.0012575
17,1651.59,0.81239,0.53498,0.98956,0.89935,0.87476,0.94457,0.73296,0.44589,0.33051,0.85586,0.001208,0.001208,0.001208
18,1741.97,0.82742,0.53533,0.98635,0.8868,0.87108,0.94105,0.73601,0.41502,0.31406,0.84447,0.0011585,0.0011585,0.0011585
19,1848.48,0.79725,0.52051,0.98364,0.8921,0.88179,0.94342,0.73837,0.43036,0.3125,0.84888,0.001109,0.001109,0.001109
20,1943.6,0.7612,0.52191,0.97718,0.90387,0.86369,0.94452,0.7366,0.43806,0.3206,0.85503,0.0010595,0.0010595,0.0010595
21,2035.12,0.77768,0.51673,0.96912,0.90693,0.86479,0.94656,0.73758,0.4196,0.29591,0.84104,0.00101,0.00101,0.00101
22,2135.79,0.72027,0.47581,0.96281,0.89443,0.8357,0.93164,0.72978,0.41808,0.31018,0.83923,0.0009605,0.0009605,0.0009605
23,2220.2,0.78666,0.50318,0.97317,0.91144,0.87588,0.95177,0.75605,0.3803,0.28148,0.83305,0.000911,0.000911,0.000911
24,2325.46,0.79117,0.50873,0.96858,0.90912,0.87551,0.94963,0.74538,0.41295,0.29413,0.84269,0.0008615,0.0008615,0.0008615
25,2430.75,0.76219,0.48141,0.95497,0.90977,0.88696,0.9558,0.7456,0.42482,0.29532,0.844,0.000812,0.000812,0.000812
26,2540.71,0.77152,0.48222,0.97008,0.90557,0.89472,0.95693,0.75577,0.39469,0.27282,0.83338,0.0007625,0.0007625,0.0007625
27,2631.19,0.77547,0.47917,0.97677,0.90915,0.87987,0.95478,0.75506,0.36129,0.26889,0.82795,0.000713,0.000713,0.000713
28,2735.96,0.69234,0.43766,0.94353,0.91293,0.88622,0.95707,0.76005,0.37845,0.27227,0.82969,0.0006635,0.0006635,0.0006635
29,2832.39,0.70712,0.44537,0.9474,0.91094,0.89398,0.95742,0.76671,0.37124,0.25891,0.82548,0.000614,0.000614,0.000614
30,2919.58,0.63013,0.39983,0.93686,0.91317,0.88964,0.9569,0.76773,0.34703,0.25148,0.82244,0.0005645,0.0005645,0.0005645
31,3025.29,0.58677,0.37157,0.89105,0.91831,0.89361,0.96057,0.77419,0.34335,0.25234,0.81778,0.000515,0.000515,0.000515
32,3131.58,0.55403,0.35466,0.87828,0.92614,0.88733,0.96102,0.77336,0.35679,0.25312,0.82097,0.0004655,0.0004655,0.0004655
33,3217.61,0.58377,0.36927,0.88877,0.92427,0.89176,0.96183,0.77257,0.3232,0.23981,0.81556,0.000416,0.000416,0.000416
34,3317.71,0.59103,0.36741,0.89685,0.91957,0.88697,0.95657,0.76829,0.34928,0.26201,0.82345,0.0003665,0.0003665,0.0003665
35,3421.01,0.53288,0.33905,0.86965,0.92729,0.89041,0.96114,0.77454,0.32416,0.23424,0.81251,0.000317,0.000317,0.000317
36,3508.89,0.55947,0.34542,0.87112,0.92798,0.8948,0.96468,0.78039,0.31626,0.22747,0.81024,0.0002675,0.0002675,0.0002675
37,3598.49,0.55091,0.33921,0.87151,0.93058,0.89629,0.96532,0.7846,0.31578,0.22213,0.80975,0.000218,0.000218,0.000218
38,3688.39,0.53538,0.32871,0.8784,0.92942,0.89991,0.96674,0.78734,0.28869,0.21231,0.80516,0.0001685,0.0001685,0.0001685
39,3774.21,0.53158,0.32322,0.86506,0.93746,0.89152,0.96583,0.78374,0.31744,0.21622,0.80785,0.000119,0.000119,0.000119
40,3866.85,0.54059,0.31502,0.87063,0.93109,0.89341,0.96631,0.78598,0.28683,0.20669,0.80553,6.95e-05,6.95e-05,6.95e-05
