epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,365.042,0.63691,0.40007,0.92779,0.90652,0.86693,0.94577,0.74787,0.38201,0.26627,0.8277,0.0009605,0.0009605,0.0009605
44,373.754,0.64092,0.39722,0.91633,0.91529,0.86221,0.94021,0.727,0.47017,0.3033,0.84803,0.00093575,0.00093575,0.00093575
45,382.033,0.62922,0.39456,0.92879,0.91953,0.86119,0.94611,0.74794,0.3829,0.27009,0.82336,0.000911,0.000911,0.000911
46,390.256,0.6443,0.39717,0.91618,0.92621,0.86406,0.94763,0.75511,0.36721,0.25068,0.8204,0.00088625,0.00088625,0.00088625
47,398.444,0.61962,0.38022,0.92273,0.91949,0.8649,0.94663,0.74495,0.43306,0.27151,0.83077,0.0008615,0.0008615,0.0008615
48,406.681,0.67855,0.41028,0.9172,0.91873,0.86406,0.94925,0.74643,0.46335,0.28271,0.83725,0.00083675,0.00083675,0.00083675
49,414.917,0.62533,0.38833,0.92869,0.93418,0.85519,0.94885,0.76268,0.34157,0.24239,0.81737,0.000812,0.000812,0.000812
50,423.227,0.61928,0.379,0.90972,0.90775,0.89287,0.95515,0.75462,0.40591,0.25217,0.82489,0.00078725,0.00078725,0.00078725
51,431.575,0.64934,0.39209,0.9236,0.91087,0.87218,0.94496,0.74524,0.3523,0.24416,0.81626,0.0007625,0.0007625,0.0007625
52,439.881,0.68782,0.40956,0.91459,0.91724,0.86812,0.94818,0.75245,0.36233,0.24452,0.81656,0.00073775,0.00073775,0.00073775
53,448.15,0.64163,0.3854,0.90857,0.90382,0.88918,0.9516,0.76038,0.32126,0.22896,0.81008,0.000713,0.000713,0.000713
54,456.484,0.61166,0.37268,0.91661,0.90861,0.87588,0.95045,0.76225,0.35231,0.24161,0.81515,0.00068825,0.00068825,0.00068825
55,464.862,0.60542,0.36499,0.8998,0.90818,0.8806,0.9541,0.77178,0.3088,0.22238,0.80679,0.0006635,0.0006635,0.0006635
56,473.24,0.6305,0.37641,0.90329,0.92194,0.8813,0.95607,0.77804,0.29578,0.21751,0.80386,0.00063875,0.00063875,0.00063875
